SNIFFERID;TIMESTAMP;TIPO;SSID;RSSI;MAC_O;FREC;CANAL
sniffer2.4Ghz_11;5/11/2022, 7:07:06 AM:262;PROBE REQUEST;MOVISTAR_D280;-86 dBm;70:03:9f:7b:67:fb;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:07 AM:300;PROBE REQUEST;SSID oculto o desconocido;-84 dBm;00:22:fe:41:a4:2a;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:07 AM:302;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:07 AM:305;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:07 AM:308;PROBE REQUEST;SSID oculto o desconocido;-84 dBm;00:22:fe:41:a4:2a;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:07 AM:310;PROBE REQUEST;SSID oculto o desconocido;-84 dBm;00:22:fe:41:a4:2a;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:500;PROBE REQUEST;SSID oculto o desconocido;-64 dBm;8e:ce:ea:8c:03:e3;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:503;PROBE REQUEST;SSID oculto o desconocido;-64 dBm;8e:ce:ea:8c:03:e3;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:506;PROBE REQUEST;SSID oculto o desconocido;-58 dBm;8e:ce:ea:8c:03:e3;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:512;PROBE REQUEST;SSID oculto o desconocido;-62 dBm;8e:ce:ea:8c:03:e3;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:515;PROBE REQUEST;SSID oculto o desconocido;-22 dBm;8e:ce:ea:8c:03:e3;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:523;PROBE REQUEST;SSID oculto o desconocido;-78 dBm;00:22:fe:41:a4:2a;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:530;PROBE REQUEST;SSID oculto o desconocido;-60 dBm;8e:ce:ea:8c:03:e3;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:12 AM:533;PROBE REQUEST;SSID oculto o desconocido;-8 dBm;8e:ce:ea:8c:03:e3;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:15 AM:620;PROBE REQUEST;MOVISTAR_D280;-102 dBm;70:03:9f:7b:67:fb;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:16 AM:660;PROBE REQUEST;SSID oculto o desconocido;-78 dBm;1e:1c:81:90:3d:e5;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:16 AM:662;PROBE REQUEST;SSID oculto o desconocido;-78 dBm;1e:1c:81:90:3d:e5;2462 Mhz;11
sniffer2.4Ghz_11;5/11/2022, 7:07:18 AM:740;PROBE REQUEST;SSID oculto o desconocido;-84 dBm;00:22:fe:41:a4:2a;2462 Mhz;11
