SNIFFERID;TIMESTAMP;TIPO;SSID;RSSI;MAC_O;FREC;CANAL
sniffer2.4Ghz_6;5/11/2022, 7:11:18 AM:342;PROBE REQUEST;SSID oculto o desconocido;-44 dBm;3a:65:62:b7:02:99;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:19 AM:380;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:19 AM:382;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:19 AM:384;PROBE REQUEST;CEEIM_MOVIL;-86 dBm;76:a2:d1:3e:c4:25;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:19 AM:387;PROBE REQUEST;MOVISTAR_FAE2;-86 dBm;76:a2:d1:3e:c4:25;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:19 AM:389;PROBE REQUEST;MiFibra-A022;-86 dBm;76:a2:d1:3e:c4:25;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:19 AM:391;PROBE REQUEST;vodafoneBA1616;-86 dBm;76:a2:d1:3e:c4:25;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:19 AM:393;PROBE REQUEST;wifi_rlv;-86 dBm;76:a2:d1:3e:c4:25;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:20 AM:430;PROBE REQUEST;CEEIM;-86 dBm;42:cb:6a:37:54:b7;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:23 AM:540;PROBE REQUEST;SSID oculto o desconocido;-42 dBm;6a:f8:67:b8:37:32;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:23 AM:542;PROBE REQUEST;SSID oculto o desconocido;-44 dBm;6a:f8:67:b8:37:32;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:23 AM:545;PROBE REQUEST;SSID oculto o desconocido;-44 dBm;6a:f8:67:b8:37:32;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:24 AM:580;PROBE REQUEST;SSID oculto o desconocido;-44 dBm;6a:f8:67:b8:37:32;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:24 AM:582;PROBE REQUEST;SSID oculto o desconocido;-46 dBm;6a:f8:67:b8:37:32;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:24 AM:584;PROBE REQUEST;SSID oculto o desconocido;-56 dBm;12:04:1d:b9:dc:22;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:24 AM:586;PROBE REQUEST;SSID oculto o desconocido;-54 dBm;12:04:1d:b9:dc:22;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:24 AM:588;PROBE REQUEST;SSID oculto o desconocido;-88 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:25 AM:620;PROBE REQUEST;SSID oculto o desconocido;-60 dBm;6a:3a:3e:33:3a:da;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:25 AM:622;PROBE REQUEST;MOVISTAR_D280;-100 dBm;70:03:9f:7b:67:fb;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:30 AM:820;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:32 AM:900;PROBE REQUEST;CEEIM_FREE;-62 dBm;de:9d:f4:2f:06:44;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:32 AM:902;PROBE REQUEST;SSID oculto o desconocido;-48 dBm;70:9c:d1:47:69:fe;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:32 AM:904;PROBE REQUEST;SSID oculto o desconocido;-50 dBm;70:9c:d1:47:69:fe;2437 Mhz;6
