SNIFFERID;TIMESTAMP;TIPO;SSID;RSSI;MAC_O;FREC;CANAL
sniffer2.4Ghz_1;5/11/2022, 7:07:09 AM:313;PROBE REQUEST;MOVISTAR_FC77;-106 dBm;00:03:50:9a:0e:cc;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:420;PROBE REQUEST;SSID oculto o desconocido;-98 dBm;00:22:fe:41:a4:2a;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:424;PROBE REQUEST;SSID oculto o desconocido;-106 dBm;00:22:fe:41:a4:2a;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:428;PROBE REQUEST;SSID oculto o desconocido;-106 dBm;00:22:fe:41:a4:2a;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:431;PROBE REQUEST;SSID oculto o desconocido;-8 dBm;8e:ce:ea:8c:03:e3;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:434;PROBE REQUEST;SSID oculto o desconocido;-10 dBm;8e:ce:ea:8c:03:e3;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:436;PROBE REQUEST;SSID oculto o desconocido;-12 dBm;8e:ce:ea:8c:03:e3;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:438;PROBE REQUEST;SSID oculto o desconocido;-28 dBm;8e:ce:ea:8c:03:e3;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:12 AM:441;PROBE REQUEST;SSID oculto o desconocido;-56 dBm;8e:ce:ea:8c:03:e3;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:14 AM:500;PROBE REQUEST;CEEIM_FREE;-106 dBm;60:e3:2b:92:2f:20;2412 Mhz;1
sniffer2.4Ghz_1;5/11/2022, 7:07:16 AM:580;PROBE REQUEST;SSID oculto o desconocido;-80 dBm;1e:1c:81:90:3d:e5;2412 Mhz;1
